,Symbol,Name,industry,Sector,MarketCap
30,ACHC,"Acadia Healthcare Company, Inc.",Medical Specialities,Health Care,$2.69B
31,ACAD,ACADIA Pharmaceuticals Inc.,Major Pharmaceuticals,Health Care,$6.05B
32,ACAM,Acamar Partners Acquisition Corp.,Business Services,Finance,$387.31M
33,ACAMU,Acamar Partners Acquisition Corp.,Business Services,Finance,
34,ACAMW,Acamar Partners Acquisition Corp.,Business Services,Finance,
35,ACST,"Acasti Pharma, Inc.",Major Pharmaceuticals,Health Care,$64.92M
36,AXDX,"Accelerate Diagnostics, Inc.",Biotechnology: Laboratory Analytical Instruments,Capital Goods,$751.78M
37,ACCP,"Accelerated Pharma, Inc.",,,
38,XLRN,Acceleron Pharma Inc.,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,$5.54B
39,ACCD,"Accolade, Inc.",,,$1.88B
40,ARAY,Accuray Incorporated,Medical/Dental Instruments,Health Care,$202.65M
41,ACEVU,ACE Convergence Acquisition Corp.,Business Services,Finance,
42,ACLL,"ACell, Inc.",,,
43,ACRX,"AcelRx Pharmaceuticals, Inc.",Major Pharmaceuticals,Health Care,$112.91M
44,ACER,Acer Therapeutics Inc.,Major Pharmaceuticals,Health Care,$33.83M
45,ACHV,"Achieve Life Sciences, Inc. ",Biotechnology: In Vitro & In Vivo Diagnostic Substances,Health Care,$30.89M
46,ACIW,"ACI Worldwide, Inc.",Computer Software: Prepackaged Software,Technology,$3.52B
47,ACRS,"Aclaris Therapeutics, Inc.",Major Pharmaceuticals,Health Care,$102.83M
48,ACMR,"ACM Research, Inc.",Industrial Machinery/Components,Technology,$1.77B
49,ACNB,ACNB Corporation,Major Banks,Finance,$195.74M
50,ACOR,"Acorda Therapeutics, Inc.",Biotechnology: Biological Products (No Diagnostic Substances),Health Care,$25.05M
51,ATVI,"Activision Blizzard, Inc",Computer Software: Prepackaged Software,Technology,$64.54B
52,AFIB,"Acutus Medical, Inc.",Medical/Dental Instruments,Health Care,$821M
53,ADMS,"Adamas Pharmaceuticals, Inc.",Major Pharmaceuticals,Health Care,$135.75M
54,ADMP,Adamis Pharmaceuticals Corporation,Major Pharmaceuticals,Health Care,$54.7M
55,AHCO,AdaptHealth Corp. ,Medical/Nursing Services,Health Care,$1.86B
56,ADAP,Adaptimmune Therapeutics plc,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,$1.35B
57,ADPT,Adaptive Biotechnologies Corporation,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,$5.68B
58,ADXN,Addex Therapeutics Ltd,Major Pharmaceuticals,Health Care,
59,ADUS,Addus HomeCare Corporation,Medical/Nursing Services,Health Care,$1.48B
60,AEY,"ADDvantage Technologies Group, Inc.",Office Equipment/Supplies/Services,Consumer Services,$28.41M
61,ADIL,"Adial Pharmaceuticals, Inc",Major Pharmaceuticals,Health Care,$19.26M
62,ADILW,"Adial Pharmaceuticals, Inc",Major Pharmaceuticals,Health Care,
63,ADTX,"ADiTx Therapeutics, Inc.",Major Pharmaceuticals,Health Care,$26.1M
64,ADMA,ADMA Biologics Inc,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,$244.37M
65,ADBE,Adobe Inc.,Computer Software: Prepackaged Software,Technology,$232.36B
66,ADTN,"ADTRAN, Inc.",Telecommunications Equipment,Public Utilities,$562.31M
67,ADRO,"Aduro Biotech, Inc.",Major Pharmaceuticals,Health Care,$244.8M
68,ADES,"Advanced Emissions Solutions, Inc.",Major Chemicals,Basic Industries,$75.91M
69,AEIS,"Advanced Energy Industries, Inc.",Industrial Machinery/Components,Capital Goods,$2.9B
70,AMD,"Advanced Micro Devices, Inc.",Semiconductors,Technology,$101.38B
71,ADXS,"Advaxis, Inc.",Major Pharmaceuticals,Health Care,$28.98M
72,ADVM,"Adverum Biotechnologies, Inc.",Biotechnology: Biological Products (No Diagnostic Substances),Health Care,$1.26B
73,DWEQ,AdvisorShares Dorsey Wright Alpha Equal Weight ETF,,,
74,DWAW,AdvisorShares Dorsey Wright FSM All Cap World ETF,,,
75,DWUS,AdvisorShares Dorsey Wright FSM US Core ETF,,,
76,DWMC,AdvisorShares Dorsey Wright Micro-Cap ETF,,,
77,DWSH,AdvisorShares Dorsey Wright Short ETF,,,
78,ACT,AdvisorShares Vice ETF,,,
79,AEGN,Aegion Corp,Water Supply,Basic Industries,$497.27M
80,AGLE,"Aeglea BioTherapeutics, Inc.",Major Pharmaceuticals,Health Care,$303.28M
81,AEHR,Aehr Test Systems,Electrical Products,Capital Goods,$42.81M
82,AMTX,"Aemetis, Inc",Major Chemicals,Basic Industries,$43.26M
83,AERI,"Aerie Pharmaceuticals, Inc.",Biotechnology: Biological Products (No Diagnostic Substances),Health Care,$511.66M
84,AVAV,"AeroVironment, Inc.",Aerospace,Capital Goods,$1.88B
85,ARPO,"Aerpio Pharmaceuticals, Inc.",Major Pharmaceuticals,Health Care,$63.1M
86,AIH,Aesthetic Medical International Holdings Group Ltd.,Medical Specialities,Health Care,$114.76M
87,AEZS,AEterna Zentaris Inc.,Major Pharmaceuticals,Health Care,$30.9M
88,AEMD,"Aethlon Medical, Inc.",Medical/Dental Instruments,Health Care,$18.35M
89,AFMD,Affimed N.V.,Major Pharmaceuticals,Health Care,$310.93M
90,AFYA,Afya Limited,Other Consumer Services,Consumer Services,$2.25B
91,AGBA,AGBA Acquisition Limited,Business Services,Finance,$61.54M
92,AGBAR,AGBA Acquisition Limited,Business Services,Finance,
93,AGBAU,AGBA Acquisition Limited,Business Services,Finance,
94,AGBAW,AGBA Acquisition Limited,Business Services,Finance,
95,AGEN,Agenus Inc.,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,$772.29M
96,AGRX,"Agile Therapeutics, Inc.",Major Pharmaceuticals,Health Care,$278.48M
97,AGYS,"Agilysys, Inc.",EDP Services,Technology,$586.44M
98,AGIO,"Agios Pharmaceuticals, Inc.",Major Pharmaceuticals,Health Care,$2.67B
99,AGMH,AGM Group Holdings Inc.,EDP Services,Technology,$417.19M
100,AGNC,AGNC Investment Corp.,Real Estate Investment Trusts,Consumer Services,$7.87B
101,AGNCM,AGNC Investment Corp.,Real Estate Investment Trusts,Consumer Services,
102,AGNCN,AGNC Investment Corp.,Real Estate Investment Trusts,Consumer Services,
103,AGNCO,AGNC Investment Corp.,Real Estate Investment Trusts,Consumer Services,
104,AGNCP,AGNC Investment Corp.,Real Estate Investment Trusts,Consumer Services,
105,API,"Agora, Inc.",Computer Software: Prepackaged Software,Technology,$4.38B
106,AGFS,"AgroFresh Solutions, Inc.",Business Services,Finance,$131.66M
107,AIKI,AIkido Pharma Inc.,Biotechnology: Commercial Physical & Biological Resarch,Health Care,$24.3M
108,ALRN,"Aileron Therapeutics, Inc.",Major Pharmaceuticals,Health Care,$48.29M
109,AIMT,"Aimmune Therapeutics, Inc.",Major Pharmaceuticals,Health Care,$835.14M
110,AIRT,"Air T, Inc.",Air Freight/Delivery Services,Transportation,$32.93M
111,AIRTP,"Air T, Inc.",Air Freight/Delivery Services,Transportation,
112,AIRTW,"Air T, Inc.",Air Freight/Delivery Services,Transportation,
113,ATSG,"Air Transport Services Group, Inc",Air Freight/Delivery Services,Transportation,$1.54B
114,AIRG,"Airgain, Inc.",Radio And Television Broadcasting And Communications Equipment,Technology,$131.49M
115,ANTE,AirNet Technology Inc.,Advertising,Technology,$12.82M
116,AKAM,"Akamai Technologies, Inc.",Business Services,Miscellaneous,$18.06B
117,AKTX,Akari Therapeutics Plc,Major Pharmaceuticals,Health Care,$56.54M
118,AKCA,"Akcea Therapeutics, Inc.",Major Pharmaceuticals,Health Care,$1.23B
119,AKBA,"Akebia Therapeutics, Inc.",Major Pharmaceuticals,Health Care,$1.46B
120,KERN,Akerna Corp.,EDP Services,Technology,$84.35M
121,KERNW,Akerna Corp.,EDP Services,Technology,
122,AKRO,"Akero Therapeutics, Inc.",Major Pharmaceuticals,Health Care,$1.21B
123,AKER,Akers Biosciences Inc.,Biotechnology: In Vitro & In Vivo Diagnostic Substances,Health Care,$35.6M
124,AKUS,"Akouos, Inc.",Major Pharmaceuticals,Health Care,$772.31M
125,AKTS,"Akoustis Technologies, Inc.",Telecommunications Equipment,Public Utilities,$319.77M
126,ALRM,"Alarm.com Holdings, Inc.",Computer Software: Prepackaged Software,Technology,$2.92B
127,ALSK,"Alaska Communications Systems Group, Inc.",Telecommunications Equipment,Public Utilities,$122.36M
128,ALAC,Alberton Acquisition Corporation,Business Services,Finance,$49.16M
129,ALACR,Alberton Acquisition Corporation,Business Services,Finance,
130,ALACU,Alberton Acquisition Corporation,Business Services,Finance,
131,ALACW,Alberton Acquisition Corporation,Business Services,Finance,
132,ALBO,"Albireo Pharma, Inc.",Major Pharmaceuticals,Health Care,$430.98M
133,ALDX,"Aldeyra Therapeutics, Inc.",Major Pharmaceuticals,Health Care,$268.89M
134,ALEC,"Alector, Inc.",Biotechnology: Biological Products (No Diagnostic Substances),Health Care,$1.05B
135,ALRS,Alerus Financial Corporation,Major Banks,Finance,$356.97M
136,ALXN,"Alexion Pharmaceuticals, Inc.",Major Pharmaceuticals,Health Care,$22.65B
137,ALCO,"Alico, Inc.",Farming/Seeds/Milling,Consumer Non-Durables,$241.98M
138,ALIT,Alight Inc.,,,
139,ALGN,"Align Technology, Inc.",Industrial Specialties,Health Care,$23.37B
140,ALIM,"Alimera Sciences, Inc.",Major Pharmaceuticals,Health Care,$30.79M
141,ALYA,Alithya Group inc.,"Computer Software: Programming, Data Processing",Technology,$118.49M
142,ALJJ,"ALJ Regional Holdings, Inc.",Business Services,Miscellaneous,$37.83M
143,ALKS,Alkermes plc,Major Pharmaceuticals,Health Care,$2.62B
144,ALLK,Allakos Inc.,Major Pharmaceuticals,Health Care,$4.45B
145,ABTX,"Allegiance Bancshares, Inc.",Major Banks,Finance,$529.18M
146,ALGT,Allegiant Travel Company,Air Freight/Delivery Services,Transportation,$2.01B
147,ALNA,"Allena Pharmaceuticals, Inc.",Biotechnology: Biological Products (No Diagnostic Substances),Health Care,$52.38M
148,ARLP,"Alliance Resource Partners, L.P.",Coal Mining,Energy,$426.1M
149,LNT,Alliant Energy Corporation,Power Generation,Public Utilities,$13.54B
150,AESE,"Allied Esports Entertainment, Inc.",Services-Misc. Amusement & Recreation,Consumer Services,$47.86M
151,AHPI,"Allied Healthcare Products, Inc.",Industrial Specialties,Health Care,$29.22M
152,AMOT,"Allied Motion Technologies, Inc.",Electrical Products,Capital Goods,$425.14M
153,ALLO,"Allogene Therapeutics, Inc.",Biotechnology: Biological Products (No Diagnostic Substances),Health Care,$4.92B
154,ALLT,Allot Ltd.,Computer Communications Equipment,Technology,$376.15M
155,ALVR,"AlloVir, Inc.",Biotechnology: Biological Products (No Diagnostic Substances),Health Care,$2.15B
156,MDRX,"Allscripts Healthcare Solutions, Inc.",EDP Services,Technology,$1.48B
157,ALNY,"Alnylam Pharmaceuticals, Inc.",Major Pharmaceuticals,Health Care,$15.55B
158,AOSL,Alpha and Omega Semiconductor Limited,Semiconductors,Technology,$340.35M
159,GOOG,Alphabet Inc.,"Computer Software: Programming, Data Processing",Technology,$1093.85B
160,GOOGL,Alphabet Inc.,"Computer Software: Programming, Data Processing",Technology,$1092.24B
161,SMCP,AlphaMark Actively Managed Small Cap ETF,,,
162,ATEC,"Alphatec Holdings, Inc.",Medical/Dental Instruments,Health Care,$363.95M
163,ALPN,"Alpine Immune Sciences, Inc.",Major Pharmaceuticals,Health Care,$204.55M
164,ALTA,Altabancorp,Major Banks,Finance,$383.02M
165,ALTR,Altair Engineering Inc.,Computer Software: Prepackaged Software,Technology,$3.09B
166,ATHE,Alterity Therapeutics Limited,Major Pharmaceuticals,Health Care,$45.03M
167,ALT,"Altimmune, Inc.",Major Pharmaceuticals,Health Care,$709.91M
168,ASPS,Altisource Portfolio Solutions S.A.,Other Consumer Services,Consumer Services,$158.35M
169,AIMC,Altra Industrial Motion Corp.,Industrial Machinery/Components,Capital Goods,$2.54B
170,ALTM,Altus Midstream Company,Natural Gas Distribution,Public Utilities,$214.29M
171,ALXO,ALX Oncology Holdings Inc.,Major Pharmaceuticals,Health Care,$1.6B
172,AMAG,"AMAG Pharmaceuticals, Inc.",Major Pharmaceuticals,Health Care,$347.21M
173,AMAL,Amalgamated Bank,Textiles,Consumer Non-Durables,$375.08M
174,AMRN,Amarin Corporation plc,Major Pharmaceuticals,Health Care,$2.6B
175,AMRK,"A-Mark Precious Metals, Inc.",Other Specialty Stores,Basic Industries,$167.7M
176,AMZN,"Amazon.com, Inc.",Catalog/Specialty Distribution,Consumer Services,$1676.22B
177,AMBC,"Ambac Financial Group, Inc.",Property-Casualty Insurers,Finance,$584.98M
178,AMBA,"Ambarella, Inc.",Semiconductors,Technology,$1.78B
179,AMCX,AMC Networks Inc.,Television Services,Consumer Services,$1.31B
180,AMCI,AMCI Acquisition Corp.,Business Services,Finance,$210.34M
181,AMCIU,AMCI Acquisition Corp.,Business Services,Finance,
182,AMCIW,AMCI Acquisition Corp.,Business Services,Finance,
183,DOX,Amdocs Limited,EDP Services,Technology,$8.02B
184,AMED,Amedisys Inc,Medical/Nursing Services,Health Care,$7.8B
185,AMTB,Amerant Bancorp Inc.,Major Banks,Finance,$580.11M
186,AMTBB,Amerant Bancorp Inc.,Major Banks,Finance,$398.41M
187,UHAL,Amerco,Rental/Leasing Companies,Consumer Services,$6.93B
188,AMRH,"Ameri Holdings, Inc.",Semiconductors,Technology,$8.32M
189,AMRHW,"Ameri Holdings, Inc.",Semiconductors,Technology,
190,ATAX,"America First Multifamily Investors, L.P.",Finance: Consumer Services,Finance,$280.32M
191,AMOV,"America Movil, S.A.B. de C.V.",Telecommunications Equipment,Public Utilities,$54.47B
192,AAL,"American Airlines Group, Inc.",Air Freight/Delivery Services,Transportation,$6.68B
193,AFIN,"American Finance Trust, Inc.",Real Estate Investment Trusts,Consumer Services,$764.04M
194,AFINP,"American Finance Trust, Inc.",Real Estate Investment Trusts,Consumer Services,
195,AMNB,"American National Bankshares, Inc.",Major Banks,Finance,$257.77M
196,ANAT,"American National Group, Inc.",Life Insurance,Finance,$2.01B
197,AOUT,"American Outdoor Brands, Inc.",,,$246.85M
198,APEI,"American Public Education, Inc.",Other Consumer Services,Consumer Services,$468.62M
199,AREC,American Resources Corporation,Other Consumer Services,Consumer Services,$32.81M
200,AMRB,American River Bankshares,Major Banks,Finance,$60.25M
201,AMSWA,"American Software, Inc.",Computer Software: Prepackaged Software,Technology,$566.76M
202,AMSC,American Superconductor Corporation,Metal Fabrications,Consumer Durables,$302.91M
203,AVCT,"American Virtual Cloud Technologies, Inc. ",EDP Services,Technology,$109.76M
204,AVCTW,"American Virtual Cloud Technologies, Inc. ",EDP Services,Technology,
205,AMWD,American Woodmark Corporation,Forest Products,Basic Industries,$1.49B
206,CRMT,"America&#39;s Car-Mart, Inc.",Automotive Aftermarket,Consumer Durables,$689.32M
207,ABCB,Ameris Bancorp,Major Banks,Finance,$1.74B
208,AMSF,"AMERISAFE, Inc.",Property-Casualty Insurers,Finance,$1.27B
209,ASRV,AmeriServ Financial Inc.,Major Banks,Finance,$49.13M
210,ASRVP,AmeriServ Financial Inc.,Major Banks,Finance,
211,ATLO,Ames National Corporation,Major Banks,Finance,$179.81M
212,AMGN,Amgen Inc.,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,$145.38B
213,FOLD,"Amicus Therapeutics, Inc.",Major Pharmaceuticals,Health Care,$3.78B
214,AMKR,"Amkor Technology, Inc.",Semiconductors,Technology,$3.1B
215,AMPH,"Amphastar Pharmaceuticals, Inc.",Major Pharmaceuticals,Health Care,$960.16M
216,IBUY,Amplify Online Retail ETF,,,
217,AMHC,Amplitude Healthcare Acquisition Corporation,Business Services,Finance,$123.74M
218,AMHCU,Amplitude Healthcare Acquisition Corporation,Business Services,Finance,
219,AMHCW,Amplitude Healthcare Acquisition Corporation,Business Services,Finance,
220,AMYT,Amryt Pharma plc,Major Pharmaceuticals,Health Care,$367.08M
221,ASYS,"Amtech Systems, Inc.",Industrial Machinery/Components,Technology,$72.49M
222,AMRS,"Amyris, Inc.",Major Chemicals,Basic Industries,$675.61M
223,ADI,"Analog Devices, Inc.",Semiconductors,Technology,$44.26B
224,ANAB,"AnaptysBio, Inc.",Major Pharmaceuticals,Health Care,$469.89M
225,AVXL,Anavex Life Sciences Corp.,Biotechnology: Commercial Physical & Biological Resarch,Health Care,$239.56M
226,ANCN,Anchiano Therapeutics Ltd.,Major Pharmaceuticals,Health Care,$7.79M
227,ANDA,Andina Acquisition Corp. III,Business Services,Finance,$98.99M
228,ANDAR,Andina Acquisition Corp. III,Business Services,Finance,
229,ANDAU,Andina Acquisition Corp. III,Business Services,Finance,
230,ANDAW,Andina Acquisition Corp. III,Business Services,Finance,
231,ANGI,ANGI Homeservices Inc.,Advertising,Consumer Services,$7.03B
232,ANGO,"AngioDynamics, Inc.",Medical/Dental Instruments,Health Care,$349.35M
233,ANIP,"ANI Pharmaceuticals, Inc.",Major Pharmaceuticals,Health Care,$394.08M
234,ANIK,Anika Therapeutics Inc.,Medical/Dental Instruments,Health Care,$536.19M
235,ANIX,"Anixa Biosciences, Inc.",Major Pharmaceuticals,Health Care,$44.22M
236,ANNX,"Annexon, Inc.",Major Pharmaceuticals,Health Care,$845.84M
237,ANPC,"AnPac Bio-Medical Science Co., Ltd.",Medical Specialities,Health Care,$64.41M
238,ANSS,"ANSYS, Inc.",Computer Software: Prepackaged Software,Technology,$28.01B
239,ATRS,"Antares Pharma, Inc.",Medical/Dental Instruments,Health Care,$443.47M
240,ATEX,Anterix Inc.,Telecommunications Equipment,Public Utilities,$777.99M
241,APA,Apache Corporation,Oil & Gas Production,Energy,$5.53B
242,APLS,"Apellis Pharmaceuticals, Inc.",Major Pharmaceuticals,Health Care,$2.19B
243,APEX,Apex Global Brands Inc.,Apparel,Consumer Non-Durables,$4.14M
244,APXT,Apex Technology Acquisition Corporation,Business Services,Finance,$453.62M
245,APXTU,Apex Technology Acquisition Corporation,Business Services,Finance,
246,APXTW,Apex Technology Acquisition Corporation,Business Services,Finance,
247,APHA,Aphria Inc.,Specialty Chemicals,Consumer Durables,$1.32B
248,APOG,"Apogee Enterprises, Inc.",Auto Parts:O.E.M.,Capital Goods,$557.97M
249,APEN,"Apollo Endosurgery, Inc.",Medical/Dental Instruments,Health Care,$33.15M
250,AINV,Apollo Investment Corporation,,,$604.95M
251,AMEH,"Apollo Medical Holdings, Inc.",Professional Services,Consumer Services,$695.17M
252,APPF,"AppFolio, Inc.",Computer Software: Prepackaged Software,Technology,$5.82B
253,APPN,Appian Corporation,Computer Software: Prepackaged Software,Technology,$3.76B
254,AAPL,Apple Inc.,Computer Manufacturing,Technology,$2134.82B
255,APDN,"Applied DNA Sciences, Inc.",Other Consumer Services,Consumer Services,$45.51M
256,AGTC,Applied Genetic Technologies Corporation,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,$137.46M
257,AMAT,"Applied Materials, Inc.",Semiconductors,Technology,$58.5B
258,AMTI,Applied Molecular Transport Inc.,Major Pharmaceuticals,Health Care,$739.18M
259,AAOI,"Applied Optoelectronics, Inc.",Semiconductors,Technology,$273.29M
260,APLT,"Applied Therapeutics, Inc.",Major Pharmaceuticals,Health Care,$554.83M
261,AUVI,"Applied UV, Inc.",,,
262,APRE,"Aprea Therapeutics, Inc.",Major Pharmaceuticals,Health Care,$573.74M
263,APVO,Aptevo Therapeutics Inc.,Major Pharmaceuticals,Health Care,$27.19M
264,APTX,Aptinyx Inc.,Major Pharmaceuticals,Health Care,$167.66M
265,APM,Aptorum Group Limited,Major Pharmaceuticals,Health Care,$85.39M
266,APTO,"Aptose Biosciences, Inc.",Biotechnology: Biological Products (No Diagnostic Substances),Health Care,$442.67M
267,APYX,Apyx Medical Corporation,Medical/Dental Instruments,Health Care,$170.74M
268,AQMS,"Aqua Metals, Inc.",Metal Fabrications,Basic Industries,$59.75M
269,AQB,"AquaBounty Technologies, Inc.",,,$127.16M
270,AQST,"Aquestive Therapeutics, Inc.",Major Pharmaceuticals,Health Care,$268.62M
271,ARAV,"Aravive, Inc.",Major Pharmaceuticals,Health Care,$97.39M
272,ABUS,Arbutus Biopharma Corporation,Major Pharmaceuticals,Health Care,$242.73M
273,ABIO,"ARCA biopharma, Inc.",Biotechnology: In Vitro & In Vivo Diagnostic Substances,Health Care,$33.36M
274,RKDA,"Arcadia Biosciences, Inc.",Farming/Seeds/Milling,Consumer Non-Durables,$34.24M
275,ARCB,ArcBest Corporation,Trucking Freight/Courier Services,Transportation,$852.41M
276,ACGL,Arch Capital Group Ltd.,Property-Casualty Insurers,Finance,$12.78B
277,ACGLO,Arch Capital Group Ltd.,Property-Casualty Insurers,Finance,
278,ACGLP,Arch Capital Group Ltd.,Property-Casualty Insurers,Finance,
279,FUV,"Arcimoto, Inc.",Motor Vehicles,Consumer Non-Durables,$211.46M
280,ARCE,Arco Platform Limited,Other Consumer Services,Consumer Services,$2.28B
281,ARCT,Arcturus Therapeutics Holdings Inc.,Major Pharmaceuticals,Health Care,$1.31B
282,ARQT,"Arcutis Biotherapeutics, Inc.",Major Pharmaceuticals,Health Care,$953.2M
283,ARDX,"Ardelyx, Inc.",Major Pharmaceuticals,Health Care,$514.34M
284,ARNA,"Arena Pharmaceuticals, Inc.",Major Pharmaceuticals,Health Care,$3.97B
285,ARCC,Ares Capital Corporation,,,$6.14B
286,ARGX,argenx SE,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,$11.1B
287,ARDS,Aridis Pharmaceuticals Inc.,Major Pharmaceuticals,Health Care,$60.32M
288,ARKR,Ark Restaurants Corp.,Restaurants,Consumer Services,$33.1M
289,DWCR,Arrow DWA Country Rotation ETF,,,
290,DWAT,Arrow DWA Tactical ETF,,,
291,AROW,Arrow Financial Corporation,Major Banks,Finance,$429.28M
292,ARWR,"Arrowhead Pharmaceuticals, Inc.",Major Pharmaceuticals,Health Care,$4.43B
293,ARTL,"Artelo Biosciences, Inc.",Business Services,Miscellaneous,$3.96M
294,ARTLW,"Artelo Biosciences, Inc.",Business Services,Miscellaneous,
295,ARTNA,Artesian Resources Corporation,Water Supply,Public Utilities,$334.61M
296,AACQU,Artius Acquisition Inc.,Business Services,Finance,
297,ARTW,"Art&#39;s-Way Manufacturing Co., Inc.",Industrial Machinery/Components,Capital Goods,$10.27M
298,ARVN,"Arvinas, Inc.",Major Pharmaceuticals,Health Care,$997.81M
299,ARYB,ARYA Sciences Acquisition Corp II,Major Pharmaceuticals,Health Care,$196.95M
300,ARYBU,ARYA Sciences Acquisition Corp II,Major Pharmaceuticals,Health Care,
301,ARYBW,ARYA Sciences Acquisition Corp II,Major Pharmaceuticals,Health Care,
302,ARYA,ARYA Sciences Acquisition Corp III,Business Services,Finance,$204.73M
303,ASND,Ascendis Pharma A/S,Major Pharmaceuticals,Health Care,$7.45B
304,APWC,Asia Pacific Wire ,Telecommunications Equipment,Basic Industries,$14.79M
305,ASLN,ASLAN Pharmaceuticals Limited,Major Pharmaceuticals,Health Care,$60.79M
306,ASML,ASML Holding N.V.,Industrial Machinery/Components,Technology,$159.33B
307,ASPU,Aspen Group Inc.,Other Consumer Services,Consumer Services,$262.89M
308,AZPN,"Aspen Technology, Inc.",EDP Services,Technology,$8.54B
309,AWH,Aspira Women&#39;s Health Inc.,Biotechnology: In Vitro & In Vivo Diagnostic Substances,Health Care,$317.69M
310,ASMB,"Assembly Biosciences, Inc.",Major Pharmaceuticals,Health Care,$706.38M
311,ASRT,"Assertio Holdings, Inc.",Major Pharmaceuticals,Health Care,$84.25M
312,ASFI,"Asta Funding, Inc.",Finance Companies,Finance,$85.45M
313,ASTE,"Astec Industries, Inc.",Construction/Ag Equipment/Trucks,Capital Goods,$1.2B
314,ATRO,Astronics Corporation,Military/Government/Technical,Capital Goods,$290.64M
315,ALOT,"AstroNova, Inc.",Computer peripheral equipment,Technology,$53.72M
316,ASTC,Astrotech Corporation,Biotechnology: Laboratory Analytical Instruments,Capital Goods,$18.79M
317,ASUR,Asure Software Inc,EDP Services,Technology,$103.82M
318,AACG,ATA Creativity Global,Other Consumer Services,Consumer Services,$34.59M
319,ATRA,"Atara Biotherapeutics, Inc.",Biotechnology: Biological Products (No Diagnostic Substances),Health Care,$1.01B
320,ATNX,"Athenex, Inc.",Major Pharmaceuticals,Health Care,$881M
321,ATHX,"Athersys, Inc.",Major Pharmaceuticals,Health Care,$442.18M
322,ATIF,ATIF Holdings Limited,Professional Services,Consumer Services,$53.13M
323,AAME,Atlantic American Corporation,Life Insurance,Finance,$39.89M
324,ACBI,"Atlantic Capital Bancshares, Inc.",Major Banks,Finance,$243.92M
325,AUB,Atlantic Union Bankshares Corporation,Major Banks,Finance,$1.93B
326,AUBAP,Atlantic Union Bankshares Corporation,Major Banks,Finance,
327,AY,Atlantica Sustainable Infrastructure plc,Electric Utilities: Central,Public Utilities,$3.1B
328,ATLC,Atlanticus Holdings Corporation,Finance: Consumer Services,Finance,$147.01M
329,AAWW,Atlas Air Worldwide Holdings,Transportation Services,Transportation,$1.5B
330,AFH,"Atlas Financial Holdings, Inc.",Property-Casualty Insurers,Finance,$4.77M
331,ATCX,"Atlas Technical Consultants, Inc.",Professional Services,Consumer Services,$46.98M
332,ATCXW,"Atlas Technical Consultants, Inc.",Professional Services,Consumer Services,
